review_id,text,label,category,product_type,version,source,language,text_original,category_original,product_type_original,label_original
f93e5369-bf6e-4151-90cb-fa591e8f8dc5,หม้อทอดไร้น้ำมันนี้คุ้มราคามาก พอใจมากกับการออกแบบ พอใจมากกับระดับเสียงรบกวน คุ้มค่าโดยรวม,บวก,บ้าน,หม้อทอดไร้น้ำมัน,clean,synthetic_amazon_like_subset,th,Great air fryer for the price. Really happy with the design. Really happy with the noise level. Good value overall.,Home,air fryer,Positive
7deadaaf-ab44-4e9b-bea3-91905217b9a7,เครื่องกรองน้ำนี้คุ้มราคามาก การทำความสะอาดดีเกินคาด พอใจมากกับความทนทาน คุ้มค่าโดยรวม บอกตรงๆ,บวก,ครัว,เครื่องกรองน้ำ,noisy,synthetic_amazon_like_subset,th,Great water filter for the price. Cleaning exceeded my expectations. Really happy with the durability. Good value overall. ngl,Kitchen,water filter,Positive
347fe2e3-7132-4c6a-abd2-9c56740f361a,ผิดหวังมากกับครีมบำรุงผิวหน้านี้ บรรจุภัณฑ์แย่มาก ปัญหาเรื่องความคุ้มค่ารับไม่ได้ จะส่งคืนสินค้า,ลบ,ความงาม,ครีมบำรุงผิวหน้า,clean,synthetic_amazon_like_subset,th,Very disappointed with this face moisturizer. The packaging is terrible. The value issues are unacceptable. Returning it.,Beauty,face moisturizer,Negative
cdb2ef8f-75b7-44b2-b487-40e1538f3b64,นาฬิกาอัจฉริยะนี้คุ้มราคามาก คุณภาพการประกอบดีเกินคาด ชอบความเร็วในการชาร์จมากจนถึงตอนนี้ จะซื้อซ้ำอีก,บวก,อิเล็กทรอนิกส์,นาฬิกาอัจฉริยะ,clean,synthetic_amazon_like_subset,th,Great smart watch for the price. Build quality exceeded my expectations. Love the charging speed so far. Would buy again.,Electronics,smart watch,Positive
2f3ed5bc-3af7-4b5c-b4d9-4d29a92d8e77,ผิดหวังมากกับสมุดโน้ตนี้ ปัญหาเรื่องความคุ้มค่ารับไม่ได้ ไม่พอใจกับความสบาย ไม่คุ้มเงิน,ลบ,สำนักงาน,สมุดโน้ต,clean,synthetic_amazon_like_subset,th,Very disappointed with this notebook. The value issues are unacceptable. Not happy with the comfort. Not worth the money.,Office,notebook,Negative
2482f7bd-db3f-4f33-a67a-02d82056eae6,เมาส์นี้คุ้มราคามาก ความสบายคุ้มค่า คุณภาพเสียงยอดเยี่ยม ขอแนะนำอย่างยิ่ง,บวก,อิเล็กทรอนิกส์,เมาส์,clean,synthetic_amazon_like_subset,th,Great mouse for the price. The comfort is worth it. The sound quality is excellent. Highly recommend.,Electronics,mouse,Positive
869faf5d-aa0d-462d-82a5-7886b75641a8,ฉันซื้อขวดน้ำนี้มาและมันใช้งานได้ดีมาก ความสบายดีมาก ความแม่นยำดีมาก คุ้มค่าโดยรวม,บวก,การออกกำลังกาย,ขวดน้ำ,clean,synthetic_amazon_like_subset,th,I bought this water bottle and it works great. The comfort is great. The accuracy is great. Good value overall.,Fitness,water bottle,Positive
e2cada10-6718-46c8-b617-c39f965f27cb,สมุดโน้ตนี้คุ้มราคามาก ชอบการออกแบบมากจนถึงตอนนี้ พอใจมากกับประโยชน์ใช้สอย ขอแนะนำอย่างยิ่ง,บวก,สำนักงาน,สมุดโน้ต,clean,synthetic_amazon_like_subset,th,Great notebook for the price. Love the design so far. Really happy with the usefulness. Highly recommend.,Office,notebook,Positive
1d87fbc4-4ffb-47df-b637-6d14bf7fb371,กล่องเตรียมอาหารนี้คือสิ่งที่ฉันต้องการพอดี การป้องกันการรั่วซึมแข็งแรงดี ความคมดีมาก ขอแนะนำอย่างยิ่ง,บวก,ครัว,กล่องเตรียมอาหาร,noisy,synthetic_amazon_like_subset,th,This meal prep containers is exactly what I needed. The leak resistance is solid. The sharpness is great. Highly recommend.,Kitchen,meal prep containers,Positive
fb713984-9c05-40dd-8ad6-4932f7e91646,ฉันซื้อเครื่องปั่นนี้มาและมันใช้งานได้ดีมาก พอใจมากกับการกระจายความร้อน พอใจมากกับความคุ้มค่า คุ้มค่าโดยรวม,บวก,ครัว,เครื่องปั่น,clean,synthetic_amazon_like_subset,th,I bought this blender and it works great. Really happy with the heat distribution. Really happy with the value. Good value overall.,Kitchen,blender,Positive
df2fdcf7-b9b1-45e5-a8b0-96d449211647,เบาะรองนั่งเก้าอี้สำนักงานนี้ไม่ได้ทำงานตามที่คาดหวัง ความคุ้มค่าน่าผิดหวังมาก ไม่พอใจกับความแข็งแรง จะส่งคืนสินค้า,ลบ,สำนักงาน,เบาะรองนั่งเก้าอี้สำนักงาน,clean,synthetic_amazon_like_subset,th,This office chair cushion did not work as expected. Value was a huge letdown. Not happy with the sturdiness. Returning it.,Office,office chair cushion,Negative
3f509172-8ddd-4a05-a3b1-d566f287ca5e,ฉันซื้อเครื่องดูดฝุ่นนี้มาและมันใช้งานได้ดีมาก ชอบระดับเสียงรบกวนมากจนถึงตอนนี้ การออกแบบดีเกินคาด ขอแนะนำอย่างยิ่ง,บวก,บ้าน,เครื่องดูดฝุ่น,clean,synthetic_amazon_like_subset,th,I bought this vacuum cleaner and it works great. Love the noise level so far. Design exceeded my expectations. Highly recommend.,Home,vacuum cleaner,Positive
249c7ae1-026d-47ff-baeb-8a1335fa3e75,ครีมกันแดดนี้คุ้มราคามาก พอใจมากกับความรู้สึกต่อผิว เนื้อสัมผัสดีเกินคาด จะซื้อซ้ำอีก,บวก,ความงาม,ครีมกันแดด,clean,synthetic_amazon_like_subset,th,Great sunscreen for the price. Really happy with the skin feel. Texture exceeded my expectations. Would buy again.,Beauty,sunscreen,Positive
